#,Reference,Value,Qty,Footprint
1,A1,E104-BT5005A,1,Spoke:E104-BT5005A
2,A2,E22-400M22S,1,Spoke:E22
3,A3,GM12864-01A,1,Spoke:GM12864-01A
4,A4,G10A-F30,1,Spoke:G10A-F30
5,C36,220nF,1,Spoke:C0603
6,"C1,C5,C8,C13,C34",10uF,5,Spoke:C1206
7,"C14,C25,C26,C28",47uF,4,Spoke:C_tantA
8,"C15,C19",12pF,2,Spoke:C0603
9,"C2,C7,C32",4.7uF,3,Spoke:C0805
10,"C3,C6,C10,C11,C16,C17,C18,C20,C21,C22,C23,C27,C30,C33,C35",100nF,15,Spoke:C0603
11,D1,BAT54C,1,Spoke:SOT-23
12,D5,Green,1,Spoke:LED_3mm
13,"D2,D4",Red,2,Spoke:LED_3mm
14,J1,B2B-PH-K-S,1,Spoke:B2B-PH-2.0
15,J4,GCT USB4105/USB4110,1,Spoke:USB_C_16p_GCT4105
16,J8,PLS-1x6,1,Spoke:Header_1x6
17,J12,Amphenol 132289,1,Spoke:SMA
18,"J7,J9",PLS-1x3,2,Spoke:Header_1x3
19,L1,2.2uH,1,Spoke:L1616
20,LS1,Buzzer-Passive,1,Spoke:Buzzer
21,"Q1,Q2",AO3407A,2,Spoke:SOT-23
22,"Q3,Q4,Q5",AO3400,3,Spoke:SOT-23
23,R5,22.1kR,1,Spoke:R0603
24,R6,47.5kR,1,Spoke:R0603
25,R20,0R,1,Spoke:R0603
26,R25,300R,1,Spoke:R0603
27,"R1,R3",5.1kR,2,Spoke:R0603
28,"R4,R21,R40,R41",3.9kR,4,Spoke:R0603
29,"R7,R9,R11,R13,R14,R15,R17,R23,R28,R30,R32,R33,R34",100kR,13,Spoke:R0603
30,"R8,R10,R12,R22,R24,R26,R27,R29,R31",1kR,9,Spoke:R0603
31,"SW1,SW2,SW3,SW4,SW5",~,5,Spoke:Button_6x6
32,U1,SP0503BAHTG,1,Spoke:SOT-143
33,U2,TP4056,1,Spoke:SOIC-8-EP
34,U3,CP2102N-A02-GQFN28,1,Spoke:QFN-28
35,U4,LM3671MF-3.3,1,Spoke:SOT-23-5
36,U5,74HC4052PW,1,Spoke:TSSOP-16
37,U6,STM32F103C8T6,1,Spoke:LQFP-48
38,U7,LSM303DLHC,1,Spoke:LGA-14
39,X1,8MHz,1,Spoke:Xtal_3225
