Source:,\KiCad\Spoke.kicad_sch,,,,,
Date:,23-11-24 13:59,,,,,
Tool:,Eeschema (6.0.9),,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,64,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,100n,Spoke:C,Spoke:C0805,
,,C2,100n,Spoke:C,Spoke:C0805,
,,C3,100n,Spoke:C,Spoke:C0805,
,,C4,100n,Spoke:C,Spoke:C0805,
,,C5,47u,Spoke:C_pol,Spoke:C_tantA,
,,C6,10n,Spoke:C,Spoke:C0805,
,,C7,100n,Spoke:C,Spoke:C0805,
,,C8,20p,Spoke:C,Spoke:C0805,
,,C9,20p,Spoke:C,Spoke:C0805,
,,C10,100n,Spoke:C,Spoke:C0805,
,,C11,100n,Spoke:C,Spoke:C0805,
,,C12,10u,Spoke:C,Spoke:C0805,
,,C13,10u,Spoke:C,Spoke:C0805,
,,C14,100n,Spoke:C,Spoke:C0805,
,,C15,10u,Spoke:C,Spoke:C0805,
,,C16,47u,Spoke:C_pol,Spoke:C_tantA,
,,C17,100n,Spoke:C,Spoke:C0805,
,,C18,220n,Spoke:C,Spoke:C0805,
,,C19,4.7u,Spoke:C,Spoke:C0805,
,,C20,100n,Spoke:C,Spoke:C0805,
,,D1,BAT54C,Spoke:BAT54C,Spoke:SOT-23,
,,D2,Led_red,Spoke:Led_red,Spoke:LED1206,
,,D3,Led_red,Spoke:Led_red,Spoke:LED1206,
,,D4,Led_green,Spoke:Led_green,Spoke:LED1206,
,,LS1,Buzzer,Spoke:Buzzer,Spoke:Buzzer_pitch7.6mm,
,,Q1,AO3407A,Spoke:AO3407A,Spoke:SOT-23,
,,Q2,AO3400,Spoke:AO3400,Spoke:SOT-23,
,,R1,100k,Spoke:R,Spoke:R0805,
,,R2,DNP,Spoke:R,Spoke:R0805,
,,R3,DNP,Spoke:R,Spoke:R0805,
,,R4,1k,Spoke:R,Spoke:R0805,
,,R5,100k,Spoke:R,Spoke:R0805,
,,R6,1k,Spoke:R,Spoke:R0805,
,,R7,100k,Spoke:R,Spoke:R0805,
,,R8,3.9k,Spoke:R,Spoke:R0805,
,,R9,3.9k,Spoke:R,Spoke:R0805,
,,R10,3.9k,Spoke:R,Spoke:R0805,
,,R11,1k,Spoke:R,Spoke:R0805,
,,R12,100k,Spoke:R,Spoke:R0805,
,,R13,1k,Spoke:R,Spoke:R0805,
,,R14,100k,Spoke:R,Spoke:R0805,
,,R15,1k,Spoke:R,Spoke:R0805,
,,SW1,Button PWR,Spoke:Button,Spoke:Button_TH_RA,
,,SW2,Button OK,Spoke:Button,Spoke:Button_TH_RA,
,,SW3,Button ESC,Spoke:Button,Spoke:Button_TH_RA,
,,U1,TPS73633DBV,Spoke:TPS73633DBV,Spoke:SOT-23-5,
,,U2,1.3_OLED_SH1106,Spoke:1.3_OLED_SH1106,Spoke:1.3_OLED_SH1106_7pin,
,,U3,STM32F103C8T6,Spoke:STM32F103C8T6,Spoke:LQFP-48,
,,U4,GN-801,Spoke:GN-801,Spoke:GN-801,
,,U5,TP4056,Spoke:TP4056,Spoke:SOIC-8-EP,
,,U6,E22-400M22S,Spoke:E22-400M22S,Spoke:E22,
,,U7,LSM303DLHC,Spoke:LSM303DLHC,Spoke:LGA-14,
,,X1,Pad_oval,Spoke:Pad_oval,Spoke:Pad_oval,
,,X2,Pad_oval,Spoke:Pad_oval,Spoke:Pad_oval,
,,X3,PLS-1x3,Spoke:PLS-1x3,Spoke:Header_1x3,
,,X4,Pad_round,Spoke:Pad_round,Spoke:Pad_round,
,,X5,Pad_round,Spoke:Pad_round,Spoke:Pad_round,
,,X6,PLS-1x6,Spoke:PLS-1x6,Spoke:Header_1x6,
,,X7,USB_Micro,Spoke:USB_Micro,Spoke:USB_MicroB,
,,X8,ANT,Spoke:ANT,Spoke:Antenna_terminal,
,,X9,Pad_round,Spoke:Pad_round,Spoke:Pad_round,
,,X10,Pad_round,Spoke:Pad_round,Spoke:Pad_round,
,,X11,Pad_round,Spoke:Pad_round,Spoke:Pad_round,
,,XTAL1,Crystal_8MHz,Spoke:Crystal_8MHz,Spoke:HC49SM,
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,10,"C1, C2, C3, C4, C7, C10, C11, C14, C17, C20",100n,Spoke:C,Spoke:C0805,
2,2,"C5, C16",47u,Spoke:C_pol,Spoke:C_tantA,
3,1,C6,10n,Spoke:C,Spoke:C0805,
4,2,"C8, C9",20p,Spoke:C,Spoke:C0805,
5,3,"C12, C13, C15",10u,Spoke:C,Spoke:C0805,
6,1,C18,220n,Spoke:C,Spoke:C0805,
7,1,C19,4.7u,Spoke:C,Spoke:C0805,
8,1,D1,BAT54C,Spoke:BAT54C,Spoke:SOT-23,
9,2,"D2, D3",Led_red,Spoke:Led_red,Spoke:LED1206,
10,1,D4,Led_green,Spoke:Led_green,Spoke:LED1206,
11,1,LS1,Buzzer,Spoke:Buzzer,Spoke:Buzzer_pitch7.6mm,
12,1,Q1,AO3407A,Spoke:AO3407A,Spoke:SOT-23,
13,1,Q2,AO3400,Spoke:AO3400,Spoke:SOT-23,
14,5,"R1, R5, R7, R12, R14",100k,Spoke:R,Spoke:R0805,
15,2,"R2, R3",DNP,Spoke:R,Spoke:R0805,
16,5,"R4, R6, R11, R13, R15",1k,Spoke:R,Spoke:R0805,
17,3,"R8, R9, R10",3.9k,Spoke:R,Spoke:R0805,
18,1,SW1,Button PWR,Spoke:Button,Spoke:Button_TH_RA,
19,1,SW2,Button OK,Spoke:Button,Spoke:Button_TH_RA,
20,1,SW3,Button ESC,Spoke:Button,Spoke:Button_TH_RA,
21,1,U1,TPS73633DBV,Spoke:TPS73633DBV,Spoke:SOT-23-5,
22,1,U2,1.3_OLED_SH1106,Spoke:1.3_OLED_SH1106,Spoke:1.3_OLED_SH1106_7pin,
23,1,U3,STM32F103C8T6,Spoke:STM32F103C8T6,Spoke:LQFP-48,
24,1,U4,GN-801,Spoke:GN-801,Spoke:GN-801,
25,1,U5,TP4056,Spoke:TP4056,Spoke:SOIC-8-EP,
26,1,U6,E22-400M22S,Spoke:E22-400M22S,Spoke:E22,
27,1,U7,LSM303DLHC,Spoke:LSM303DLHC,Spoke:LGA-14,
28,2,"X1, X2",Pad_oval,Spoke:Pad_oval,Spoke:Pad_oval,
29,1,X3,PLS-1x3,Spoke:PLS-1x3,Spoke:Header_1x3,
30,5,"X4, X5, X9, X10, X11",Pad_round,Spoke:Pad_round,Spoke:Pad_round,
31,1,X6,PLS-1x6,Spoke:PLS-1x6,Spoke:Header_1x6,
32,1,X7,USB_Micro,Spoke:USB_Micro,Spoke:USB_MicroB,
33,1,X8,ANT,Spoke:ANT,Spoke:Antenna_terminal,
34,1,XTAL1,Crystal_8MHz,Spoke:Crystal_8MHz,Spoke:HC49SM,
